,Unnamed: 0,Country,City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
161,15625,hu,heviz,46.788778,17.183332999999998,30.2,63,0,14.99
162,15741,hu,labatlan,47.74735,18.496226,30.2,92,75,3.36
163,15875,hu,opalyi,47.997712,22.32617,24.8,92,75,3.36
164,15889,hu,pakozd,47.213694,18.533055,30.2,92,75,3.36
165,15890,hu,paks,46.62648,18.859624,28.27,96,88,7.63
166,15906,hu,per,47.611528,17.806317,26.6,79,0,4.7
167,15933,hu,pusztavam,47.429478,18.22648,26.6,79,0,4.7
168,15998,hu,szalkszentmarton,46.975654,19.011775,30.2,92,75,3.36
169,16015,hu,szentendre,47.664712,19.068063,30.2,92,75,3.36
170,16131,hu,vac,47.780715,19.131006,30.2,92,75,3.36
171,16143,hu,vecses,47.407047,19.286483,30.2,92,75,3.36
172,16236,id,cibitung,-6.272222,107.103611,79.93,81,48,8.97
173,16244,id,ciledug,-6.9142,108.7343,,,,
174,16276,id,gamping,-7.783333,110.316667,86.59,91,20,16.69
175,16369,id,madiun,-7.6298,111.5239,82.36,77,32,5.17
176,16471,id,rantauprapat,2.1,99.833333,83.89,77,44,2.82
177,16487,id,serpong,-6.316944,106.664167,84.2,74,40,21.92
178,16546,id,teluknaga,-6.065,106.644167,84.2,74,40,21.92
179,16668,ie,laytown,53.6819444,-6.2391667,32,100,75,5.82
180,16708,ie,rush,53.52472220000001,-6.1097222,,,,
181,17035,in,baghpat,28.95,77.216667,84.2,32,40,4.7
182,17322,in,bodh gaya,24.7,84.983333,91.4,29,12,11.41
183,17420,in,chhatapur,26.216667,87.016667,94.06,34,0,2.37
184,17795,in,gundlupet,11.8,76.68333299999998,87.76,49,0,4.16
185,18019,in,jharia,23.75,86.4,93.07,33,0,2.93
186,18158,in,karrapur,23.95,78.85,87.67,46,48,5.28
187,18227,in,khapa,21.433333,78.966667,93.2,32,0,4.7
188,18239,in,kharod,21.75,82.56666700000002,90.01,31,0,9.64
189,18329,in,kotaparh,19.15,82.35,93.52,35,0,6.4
190,18478,in,mahemdavad,22.833333,72.766667,84.2,45,0,5.82
191,18530,in,manali,13.166667000000002,80.266667,13.33,87,68,0.92
192,18650,in,mormugao,15.4,73.8,,,,
193,18690,in,mursan,27.583333000000003,77.93333299999998,84.79,57,0,3.94
194,18754,in,nandyal,15.483332999999998,78.483333,95.86,29,0,4.05
195,18773,in,narayanavanam,13.416667000000002,79.583333,91,51,0,6.4
196,18841,in,nohar,29.183333,74.766667,69.67,73,36,0.47
197,19069,in,puranpur,28.516667,80.15,88.03,30,0,3.6
198,19178,in,ranir bazar,23.833333,91.366667,89.6,46,0,4.38
199,19190,in,raver,21.25,76.033333,92.26,31,0,5.28
200,19194,in,rayachoti,14.05,78.75,92.17,36,0,4.27
201,19316,in,sarka ghat,31.7,76.733333,54.46,98,88,2.93
202,19446,in,sirkali,11.233333,79.733333,,,,
203,19522,in,sundargarh,22.116667,84.033333,94.6,30,0,5.39
204,19527,in,surandai,8.966667,77.4,89.56,61,0,2.37
205,19573,in,teghra,25.483333,85.95,91.81,40,0,4.38
206,19822,iq,kifri,34.6913889,44.9608333,70.66,40,0,4.27
207,19832,ir,abhar,36.1468,49.218,60.94,26,8,4.16
208,19902,ir,jahrom,28.5024,53.5534,,,,
209,19948,ir,omidiyeh,30.7458,49.7087,75.2,33,0,4.7
210,19985,ir,shahreza,32.0089,51.8668,58.06,30,0,3.6
211,19987,ir,shahrud,36.418189,54.976282,55,75,0,3.38
212,20092,it,arona,45.766667,8.566667,42.8,93,0,4.7
213,20155,it,borgomanero,45.7,8.466667,42.8,93,75,4.7
214,20483,it,grottaferrata,41.783333,12.666667,46.4,87,75,11.41
215,20526,it,lavello,41.05,15.8,44.6,93,90,3.36
216,20591,it,massafra,40.591944,17.115278,55.4,100,40,8.05
217,20663,it,montesarchio,41.066667,14.633333,51.8,66,40,8.05
218,20666,it,montespertoli,43.633333,11.066667,44.6,60,75,14.99
219,20684,it,narni,42.516667,12.516667,44.6,69,20,21.92
220,20975,it,selargius,39.256667,9.1675,48.2,87,20,4.7
221,20976,it,selvazzano dentro,45.383333,11.783333,41,69,0,3.36
222,21182,jo,irbid,32.555556,35.85,64.4,38,0,2.82
223,21368,jp,imabari,34.066666999999995,132.966667,,,,
224,21522,jp,kudamatsu,34.0,131.866667,48.2,93,75,4.7
225,21629,jp,namioka,40.707222,140.589444,41,48,75,5.82
226,21758,jp,settsu,34.778191,135.595121,55.4,66,75,27.51
227,21853,jp,tobe,33.733333,132.783333,50,87,75,16.11
228,21927,jp,yaita,36.8,139.933333,30.2,100,75,10.29
